{'reviewerID': 'jq0vd3mgIqgnw-tj-JvEfA', 'poss_spam': 0.0001, 'spam': 0.057, 'spam_score_total': 0.1521, 'not_spam': 0.0001, 'spam_score_ts': 0.1521}
{'reviewerID': '4f7DPAvTm8oF9_ZJ_EKBCg', 'poss_spam': 0.0001, 'spam': 0.1609, 'spam_score_total': 0.3685, 'not_spam': 0.0001, 'spam_score_ts': 0.429}
{'reviewerID': 'w_3bhIQ9I_KXpUb9Rqjxrg', 'poss_spam': 0.7106, 'spam': 0.0001, 'spam_score_total': 0.079, 'not_spam': 0.0001, 'spam_score_ts': 0.2369}
{'reviewerID': 'KqwPvW3AuQBG0yMfcMfATw', 'poss_spam': 0.0001, 'spam': 0.057, 'spam_score_total': 0.0507, 'not_spam': 0.0001, 'spam_score_ts': 0.1521}
{'reviewerID': 'ptLc4l0wjx_q5OrOjSAhog', 'poss_spam': 0.0001, 'spam': 0.2249, 'spam_score_total': 0.5998, 'not_spam': 0.0001, 'spam_score_ts': 0.5998}
{'reviewerID': 'VAk1j8_7s7c2azur5JwhBQ', 'poss_spam': 0.0006, 'spam': 0.0685, 'spam_score_total': 0.1831, 'not_spam': 0.0001, 'spam_score_ts': 0.183}
{'reviewerID': '4_lbdeg_1VJgKWpvSIJdfw', 'poss_spam': 0.321, 'spam': 0.0008, 'spam_score_total': 0.1092, 'not_spam': 0.0001, 'spam_score_ts': 0.1091}
{'reviewerID': 'V_hlcRDaiMjtf0ga7P5rlQ', 'poss_spam': 0.4196, 'spam': 0.0001, 'spam_score_total': 0.1399, 'not_spam': 0.0001, 'spam_score_ts': 0.1399}
{'reviewerID': 'o7MQeI-3kM_5QXHFSm7R0Q', 'poss_spam': 0.0001, 'spam': 0.0306, 'spam_score_total': 0.0816, 'not_spam': 0.0001, 'spam_score_ts': 0.0816}
{'reviewerID': '6G4Ho6jBuaSmKAOZui8zjg', 'poss_spam': 0.1296, 'spam': 0.041, 'spam_score_total': 0.1525, 'not_spam': 0.0001, 'spam_score_ts': 0.1525}
{'reviewerID': 'XtPEn8t5ILrQjYYUohA6WQ', 'poss_spam': 0.3209, 'spam': 0.0008, 'spam_score_total': 0.1092, 'not_spam': 0.0001, 'spam_score_ts': 0.1092}
{'reviewerID': '8x2uMpCgODVoXAwvnSErbA', 'poss_spam': 0.0001, 'spam': 0.057, 'spam_score_total': 0.1726, 'not_spam': 0.0001, 'spam_score_ts': 0.1521}
{'reviewerID': 'tiVjQWBWxCmrydPiv6EUVw', 'poss_spam': 0.1296, 'spam': 0.041, 'spam_score_total': 0.0508, 'not_spam': 0.0001, 'spam_score_ts': 0.1525}
{'reviewerID': 'Lp_uQFqYBJ_9gEsU7zI8lw', 'poss_spam': 0.0001, 'spam': 0.057, 'spam_score_total': 0.1521, 'not_spam': 0.0001, 'spam_score_ts': 0.1521}
{'reviewerID': 'LAGkce3UOSgBCKWTgf1uRg', 'poss_spam': 0.0001, 'spam': 0.057, 'spam_score_total': 0.1521, 'not_spam': 0.0001, 'spam_score_ts': 0.1521}
{'reviewerID': 'idAkpE-vLTRwP2NxYTgauA', 'poss_spam': 0.0008, 'spam': 0.0685, 'spam_score_total': 0.0609, 'not_spam': 0.0001, 'spam_score_ts': 0.1828}
{'reviewerID': 'JMzOET-yd7reUXz3OWJaFA', 'poss_spam': 0.2401, 'spam': 0.156, 'spam_score_total': 0.3461, 'not_spam': 0.0001, 'spam_score_ts': 0.4959}
{'reviewerID': 'kxGmX1lBXJAv-4mI_QduWg', 'poss_spam': 0.5281, 'spam': 0.0001, 'spam_score_total': 0.176, 'not_spam': 0.0001, 'spam_score_ts': 0.176}
{'reviewerID': 'InWfchzutCtJRbUBpYKtSQ', 'poss_spam': 0.1804, 'spam': 0.0995, 'spam_score_total': 0.3258, 'not_spam': 0.0001, 'spam_score_ts': 0.3253}
{'reviewerID': 'Yds_fV9S4-XDnKgTI2LPpw', 'poss_spam': 0.4196, 'spam': 0.0001, 'spam_score_total': 0.1399, 'not_spam': 0.0001, 'spam_score_ts': 0.1399}
{'reviewerID': 'rTo1ltY1Ct63KEv-SjR2vg', 'poss_spam': 0.2671, 'spam': 0.0105, 'spam_score_total': 0.1177, 'not_spam': 0.0001, 'spam_score_ts': 0.1171}
{'reviewerID': 'TZExGajxC02oetl7iQ77eg', 'poss_spam': 0.0003, 'spam': 0.1352, 'spam_score_total': 0.3606, 'not_spam': 0.0001, 'spam_score_ts': 0.3606}
{'reviewerID': '1oZ3at51OxmOBoSVCgx3RQ', 'poss_spam': 0.4541, 'spam': 0.0388, 'spam_score_total': 0.2577, 'not_spam': 0.0001, 'spam_score_ts': 0.2548}
{'reviewerID': '1ZDtCZNtl2EZ2RvbvWoyvg', 'poss_spam': 0.0001, 'spam': 0.057, 'spam_score_total': 0.0507, 'not_spam': 0.0001, 'spam_score_ts': 0.1521}
{'reviewerID': '32ZT79MkkwvhZSrkx6BrTw', 'poss_spam': 0.1296, 'spam': 0.041, 'spam_score_total': 0.1525, 'not_spam': 0.0001, 'spam_score_ts': 0.1525}
{'reviewerID': 'iGk7RtGln4rIf4tp6uArZA', 'poss_spam': 0.0009, 'spam': 0.1364, 'spam_score_total': 0.3586, 'not_spam': 0.0001, 'spam_score_ts': 0.3641}
{'reviewerID': 'X0-wbzpQv2n_oeSbSmoU8w', 'poss_spam': 0.0001, 'spam': 0.5037, 'spam_score_total': 1.3424, 'not_spam': 0.0001, 'spam_score_ts': 1.3431}
{'reviewerID': '7Arih-n8Ta5QFH8kcR4dqg', 'poss_spam': 0.1839, 'spam': 0.0987, 'spam_score_total': 0.3232, 'not_spam': 0.0001, 'spam_score_ts': 0.3245}
{'reviewerID': 'HJwB5_yhBBg4AAnlLtN8jQ', 'poss_spam': 0.4196, 'spam': 0.0001, 'spam_score_total': 0.1399, 'not_spam': 0.0001, 'spam_score_ts': 0.1399}
{'reviewerID': 'VPINiUt71jfnBkGcf-XX_A', 'poss_spam': 0.0001, 'spam': 0.2012, 'spam_score_total': 0.5388, 'not_spam': 0.0001, 'spam_score_ts': 0.5366}
{'reviewerID': 'OavGX8dN5NiCRPyrqiUiQA', 'poss_spam': 0.2897, 'spam': 0.0752, 'spam_score_total': 0.2181, 'not_spam': 0.0001, 'spam_score_ts': 0.2971}
{'reviewerID': 'uJMTDeih7mW6YXpP18yMNA', 'poss_spam': 0.0867, 'spam': 0.1202, 'spam_score_total': 0.3494, 'not_spam': 0.0001, 'spam_score_ts': 0.3495}
{'reviewerID': '72-emk1h_x5gTw4EZaTHbQ', 'poss_spam': 0.2827, 'spam': 0.0768, 'spam_score_total': 0.299, 'not_spam': 0.0001, 'spam_score_ts': 0.299}
{'reviewerID': 'Odj7rHyVCq2n-YT3Q9Sppw', 'poss_spam': 0.0566, 'spam': 0.2663, 'spam_score_total': 0.7291, 'not_spam': 0.0001, 'spam_score_ts': 0.729}
{'reviewerID': 'WIp5I2hyl-0QLm03D_nuaQ', 'poss_spam': 0.0284, 'spam': 0.0634, 'spam_score_total': 0.1786, 'not_spam': 0.0001, 'spam_score_ts': 0.1786}
{'reviewerID': 'dJ5KfpIclVdmglgxl7_6fw', 'poss_spam': 0.0001, 'spam': 0.0658, 'spam_score_total': 0.1391, 'not_spam': 0.0001, 'spam_score_ts': 0.1756}
{'reviewerID': 'TEtzbpgA2BFBrC0y0sCbfw', 'poss_spam': 0.5036, 'spam': 0.0001, 'spam_score_total': 0.1679, 'not_spam': 0.0001, 'spam_score_ts': 0.1679}
{'reviewerID': 'YmocXA9-U5BGWAzIMyaYCg', 'poss_spam': 0.0001, 'spam': 0.0335, 'spam_score_total': 0.0894, 'not_spam': 0.0001, 'spam_score_ts': 0.0894}
{'reviewerID': 'cd_gNidDJBOgQscUn0519g', 'poss_spam': 0.1257, 'spam': 0.1116, 'spam_score_total': 0.1991, 'not_spam': 0.0001, 'spam_score_ts': 0.3395}
{'reviewerID': 'M3KIw72lp5CNxLfPaPJnlw', 'poss_spam': 0.0001, 'spam': 0.0218, 'spam_score_total': 0.0581, 'not_spam': 0.0001, 'spam_score_ts': 0.0581}
{'reviewerID': 'DOFamdMaC_hjn9zg3Gs-0w', 'poss_spam': 0.0001, 'spam': 0.1992, 'spam_score_total': 0.5313, 'not_spam': 0.0001, 'spam_score_ts': 0.5313}
{'reviewerID': 'BqU3sJI6EnVvvS0O-0bI6w', 'poss_spam': 0.3209, 'spam': 0.0008, 'spam_score_total': 0.0364, 'not_spam': 0.0001, 'spam_score_ts': 0.1092}
{'reviewerID': 'Zy_Ge-kUmw6W_25Rbabivg', 'poss_spam': 0.4196, 'spam': 0.0001, 'spam_score_total': 0.1399, 'not_spam': 0.0001, 'spam_score_ts': 0.1399}
{'reviewerID': 'YIrPewBZr7t0AQMqTjLgBQ', 'poss_spam': 0.0622, 'spam': 0.0559, 'spam_score_total': 0.1699, 'not_spam': 0.0001, 'spam_score_ts': 0.1699}
{'reviewerID': '6d6onfNEqVAe3NmSyOOMiQ', 'poss_spam': 0.0001, 'spam': 0.0531, 'spam_score_total': 0.1486, 'not_spam': 0.0001, 'spam_score_ts': 0.1417}
{'reviewerID': 'To7EBxWC-Yz011V2-tdTvA', 'poss_spam': 0.0269, 'spam': 0.2029, 'spam_score_total': 0.3604, 'not_spam': 0.0001, 'spam_score_ts': 0.55}
{'reviewerID': 'h9fDxlf10xNwmi9zKPnYFg', 'poss_spam': 0.0001, 'spam': 0.1924, 'spam_score_total': 0.5123, 'not_spam': 0.0001, 'spam_score_ts': 0.5132}
{'reviewerID': 'hpe_1n2b6qYXO8sM8ywKNg', 'poss_spam': 0.3208, 'spam': 0.0009, 'spam_score_total': 0.1092, 'not_spam': 0.0001, 'spam_score_ts': 0.1093}
{'reviewerID': 'zbhm2W7WnRXoOlx70MN53w', 'poss_spam': 0.0001, 'spam': 0.057, 'spam_score_total': 0.1521, 'not_spam': 0.0001, 'spam_score_ts': 0.1521}
{'reviewerID': 'ud1n58yi2k9M9DBUZehM1Q', 'poss_spam': 0.3208, 'spam': 0.0009, 'spam_score_total': 0.1094, 'not_spam': 0.0001, 'spam_score_ts': 0.1093}
{'reviewerID': 'DzmrwbVKVPlihbiZwoJbWg', 'poss_spam': 0.3209, 'spam': 0.0009, 'spam_score_total': 0.1092, 'not_spam': 0.0001, 'spam_score_ts': 0.1092}
{'reviewerID': 'GHXN_g5f8Ofa2Uymxbw74A', 'poss_spam': 0.0001, 'spam': 0.057, 'spam_score_total': 0.1521, 'not_spam': 0.0001, 'spam_score_ts': 0.1521}
{'reviewerID': 'Wgu_B9ZnnrOPiH0_F7K34Q', 'poss_spam': 0.4196, 'spam': 0.0001, 'spam_score_total': 0.1399, 'not_spam': 0.0001, 'spam_score_ts': 0.1399}
{'reviewerID': 'udsJqDx2ecfRFs0UkARKww', 'poss_spam': 0.0003, 'spam': 0.1354, 'spam_score_total': 0.2221, 'not_spam': 0.0001, 'spam_score_ts': 0.3612}
{'reviewerID': 'MNBUuPZdwLy5C5JtZQlizQ', 'poss_spam': 0.0001, 'spam': 0.0414, 'spam_score_total': 0.1103, 'not_spam': 0.0001, 'spam_score_ts': 0.1103}
{'reviewerID': 'T6fLamDIKEIJ_vqsK3DgAg', 'poss_spam': 0.0001, 'spam': 0.0394, 'spam_score_total': 0.1051, 'not_spam': 0.0001, 'spam_score_ts': 0.1051}
{'reviewerID': 'Mlhjg_PTkyZ7FReat_COiw', 'poss_spam': 0.1822, 'spam': 0.099, 'spam_score_total': 0.3249, 'not_spam': 0.0001, 'spam_score_ts': 0.3249}
{'reviewerID': 'ORkSoQaD0jywIA4fgvvszg', 'poss_spam': 0.0001, 'spam': 0.057, 'spam_score_total': 0.1521, 'not_spam': 0.0001, 'spam_score_ts': 0.1521}
{'reviewerID': 'LT9Fe08PP19F7KyOD4XyrQ', 'poss_spam': 0.3144, 'spam': 0.0697, 'spam_score_total': 0.2908, 'not_spam': 0.0001, 'spam_score_ts': 0.2908}
{'reviewerID': 'IoVD4tkZlnSSdtU91ISrpg', 'poss_spam': 0.3824, 'spam': 0.0001, 'spam_score_total': 0.0425, 'not_spam': 0.0001, 'spam_score_ts': 0.1275}
{'reviewerID': 'oazvcz5RmMOCuTeGjtCRSQ', 'poss_spam': 0.2197, 'spam': 0.0907, 'spam_score_total': 0.3152, 'not_spam': 0.0001, 'spam_score_ts': 0.3152}
{'reviewerID': '_W4y7ku6Q0uGoiI3ePtkgQ', 'poss_spam': 0.4196, 'spam': 0.0001, 'spam_score_total': 0.1399, 'not_spam': 0.0001, 'spam_score_ts': 0.1399}
{'reviewerID': '08mOpJRCpZe3D8UHszP4FA', 'poss_spam': 0.0001, 'spam': 0.179, 'spam_score_total': 0.3797, 'not_spam': 0.0001, 'spam_score_ts': 0.4774}
{'reviewerID': 'Ss7bZBg-1n0AvVMr6r-Ojw', 'poss_spam': 0.1296, 'spam': 0.041, 'spam_score_total': 0.0508, 'not_spam': 0.0001, 'spam_score_ts': 0.1525}
{'reviewerID': 'oBOvzttfumqciZDfdiPzAA', 'poss_spam': 0.3208, 'spam': 0.0009, 'spam_score_total': 0.1092, 'not_spam': 0.0001, 'spam_score_ts': 0.1093}
{'reviewerID': 'H4JNrBAoyCk_ZMZWbAf8OA', 'poss_spam': 0.0001, 'spam': 0.1176, 'spam_score_total': 0.3136, 'not_spam': 0.0001, 'spam_score_ts': 0.3136}
{'reviewerID': '-8qYRY8XWApqCH4BMWf0GQ', 'poss_spam': 0.2561, 'spam': 0.013, 'spam_score_total': 0.1199, 'not_spam': 0.0001, 'spam_score_ts': 0.1199}
{'reviewerID': 'Hh6iHC3bW_MUPuOhsIKFYw', 'poss_spam': 0.2881, 'spam': 0.006, 'spam_score_total': 0.1123, 'not_spam': 0.0001, 'spam_score_ts': 0.1122}
{'reviewerID': 'lOExMRLNEVGKz0f-zb4kCQ', 'poss_spam': 0.0001, 'spam': 0.0658, 'spam_score_total': 0.0585, 'not_spam': 0.0001, 'spam_score_ts': 0.1756}
{'reviewerID': 'gjZp61JZaqcLrKjEDVSPIQ', 'poss_spam': 0.0001, 'spam': 0.2374, 'spam_score_total': 0.6361, 'not_spam': 0.0001, 'spam_score_ts': 0.633}
{'reviewerID': 'Y44vrJgDGR3PFGzkU-4now', 'poss_spam': 0.0001, 'spam': 0.0288, 'spam_score_total': 0.0256, 'not_spam': 0.0001, 'spam_score_ts': 0.0769}
{'reviewerID': 'UkaR7sIhIMScFa5TPRrLVw', 'poss_spam': 0.0001, 'spam': 0.0306, 'spam_score_total': 0.0816, 'not_spam': 0.0001, 'spam_score_ts': 0.0816}
{'reviewerID': '5XjbNx50hhkyNW4bVPaC_A', 'poss_spam': 0.0284, 'spam': 0.0634, 'spam_score_total': 0.1786, 'not_spam': 0.0001, 'spam_score_ts': 0.1786}
{'reviewerID': 'zKXuAECqHoJs9UoS62remw', 'poss_spam': 0.4196, 'spam': 0.0001, 'spam_score_total': 0.0466, 'not_spam': 0.0001, 'spam_score_ts': 0.1399}
{'reviewerID': 'qG_bVdazAjjAO1l94gqHAg', 'poss_spam': 0.4525, 'spam': 0.0001, 'spam_score_total': 0.1508, 'not_spam': 0.0001, 'spam_score_ts': 0.1508}
{'reviewerID': 'YeoDS1ZbCxUlte6YA_Awtw', 'poss_spam': 0.288, 'spam': 0.0058, 'spam_score_total': 0.1121, 'not_spam': 0.0001, 'spam_score_ts': 0.1114}
{'reviewerID': 'H2XkgrUsG3d49wWDBTA7pQ', 'poss_spam': 0.4196, 'spam': 0.0001, 'spam_score_total': 0.1399, 'not_spam': 0.0001, 'spam_score_ts': 0.1399}
{'reviewerID': 'y6-ONuzNIxAfsgfeT53_sA', 'poss_spam': 0.0284, 'spam': 0.0634, 'spam_score_total': 0.1786, 'not_spam': 0.0001, 'spam_score_ts': 0.1786}
{'reviewerID': 'xeZWq8661yWKwb3mToo8Yg', 'poss_spam': 0.4063, 'spam': 0.0001, 'spam_score_total': 0.1353, 'not_spam': 0.0001, 'spam_score_ts': 0.1354}
{'reviewerID': 'g222nwbHDeszGt_4A4f_bg', 'poss_spam': 0.321, 'spam': 0.0008, 'spam_score_total': 0.1092, 'not_spam': 0.0001, 'spam_score_ts': 0.1091}
{'reviewerID': '58yhbFfNHjULDZx0FD-Dvw', 'poss_spam': 0.3209, 'spam': 0.0009, 'spam_score_total': 0.1092, 'not_spam': 0.0001, 'spam_score_ts': 0.1092}
{'reviewerID': 'YVUxUIae-d7qBwsdlbRI0Q', 'poss_spam': 0.2043, 'spam': 0.0942, 'spam_score_total': 0.3195, 'not_spam': 0.0001, 'spam_score_ts': 0.3192}
{'reviewerID': '32sxRjdlvBsQRiwuGQUeXQ', 'poss_spam': 0.0001, 'spam': 0.2552, 'spam_score_total': 0.6836, 'not_spam': 0.0001, 'spam_score_ts': 0.6805}
{'reviewerID': '1lBfVyiZoGVCjpG19T1_ow', 'poss_spam': 0.0001, 'spam': 0.0218, 'spam_score_total': 0.0581, 'not_spam': 0.0001, 'spam_score_ts': 0.0581}
{'reviewerID': 'w6gKfNnGMVvSfF3VmNYTBA', 'poss_spam': 0.3208, 'spam': 0.0009, 'spam_score_total': 0.1093, 'not_spam': 0.0001, 'spam_score_ts': 0.1093}
{'reviewerID': 'P4tSZPeEeDgVWaJH5hwwAA', 'poss_spam': 0.2598, 'spam': 0.0819, 'spam_score_total': 0.1954, 'not_spam': 0.0001, 'spam_score_ts': 0.3049}
{'reviewerID': 'eeemUU0oFchyKC4xL2-1pQ', 'poss_spam': 0.0001, 'spam': 0.05, 'spam_score_total': 0.1615, 'not_spam': 0.0001, 'spam_score_ts': 0.1333}
{'reviewerID': '5rYjQS0BV3ihz-jkE-UHuQ', 'poss_spam': 0.0001, 'spam': 0.0359, 'spam_score_total': 0.0996, 'not_spam': 0.0001, 'spam_score_ts': 0.0957}
{'reviewerID': '-ydCYfBsk4BpRhnlDeD2fQ', 'poss_spam': 0.4196, 'spam': 0.0001, 'spam_score_total': 0.1399, 'not_spam': 0.0001, 'spam_score_ts': 0.1399}
{'reviewerID': 'VRNF7v9PRqnfU3XpNmRxpQ', 'poss_spam': 0.0001, 'spam': 0.0277, 'spam_score_total': 0.0738, 'not_spam': 0.0001, 'spam_score_ts': 0.0738}
{'reviewerID': 'rNeMzCLFzsDIs7lehNVxsA', 'poss_spam': 0.6355, 'spam': 0.0001, 'spam_score_total': 0.0706, 'not_spam': 0.0001, 'spam_score_ts': 0.2118}
{'reviewerID': '6IJvrFm0X3OTy6HoDWaLpg', 'poss_spam': 0.0001, 'spam': 0.0288, 'spam_score_total': 0.0644, 'not_spam': 0.0001, 'spam_score_ts': 0.0769}
{'reviewerID': 'hoqUwHCPjSaqYrH2Df9z1A', 'poss_spam': 0.2309, 'spam': 0.0185, 'spam_score_total': 0.1264, 'not_spam': 0.0001, 'spam_score_ts': 0.1264}
{'reviewerID': '30uf4qsB9RAqZFMiJG9-sw', 'poss_spam': 0.1296, 'spam': 0.041, 'spam_score_total': 0.1441, 'not_spam': 0.0001, 'spam_score_ts': 0.1525}
{'reviewerID': '2t0RKGyolWss7ZpszBmNtQ', 'poss_spam': 0.0001, 'spam': 0.0453, 'spam_score_total': 0.1148, 'not_spam': 0.0001, 'spam_score_ts': 0.1208}
{'reviewerID': 'ww8HxfO6u0jFbFCAAndDRA', 'poss_spam': 0.3521, 'spam': 0.0001, 'spam_score_total': 0.1181, 'not_spam': 0.0001, 'spam_score_ts': 0.1174}
{'reviewerID': '8Bx7StPmiE9EQQQJSQz-ww', 'poss_spam': 0.3207, 'spam': 0.0009, 'spam_score_total': 0.1092, 'not_spam': 0.0001, 'spam_score_ts': 0.1093}
{'reviewerID': 'XFGOSi7L0vC8ojvEdly1mw', 'poss_spam': 0.4196, 'spam': 0.0001, 'spam_score_total': 0.1399, 'not_spam': 0.0001, 'spam_score_ts': 0.1399}
{'reviewerID': 'shSmIgXxzyO9t4A9J3ClLQ', 'poss_spam': 0.1576, 'spam': 0.0348, 'spam_score_total': 0.1453, 'not_spam': 0.0001, 'spam_score_ts': 0.1453}
{'reviewerID': 'RTxVm1lYo9XzDSOEWx1flg', 'poss_spam': 0.4218, 'spam': 0.0001, 'spam_score_total': 0.1567, 'not_spam': 0.0001, 'spam_score_ts': 0.1406}
{'reviewerID': 'aLbrRLCPA2jgvDqfZH0NgQ', 'poss_spam': 0.0001, 'spam': 0.0492, 'spam_score_total': 0.1272, 'not_spam': 0.0001, 'spam_score_ts': 0.1312}
{'reviewerID': 'k4h5VRMWiKzWYPDW1gLj6A', 'poss_spam': 0.0001, 'spam': 0.0394, 'spam_score_total': 0.1051, 'not_spam': 0.0001, 'spam_score_ts': 0.1051}
{'reviewerID': 'Z41AYJrGrizg_kW2rF4ITA', 'poss_spam': 0.0001, 'spam': 0.1007, 'spam_score_total': 0.2687, 'not_spam': 0.0001, 'spam_score_ts': 0.2687}
{'reviewerID': 'txQDGM_43fMqTYUuqdeuIA', 'poss_spam': 0.0001, 'spam': 0.0218, 'spam_score_total': 0.0194, 'not_spam': 0.0001, 'spam_score_ts': 0.0581}
{'reviewerID': 'B0QGBVCUm54vs_waVzcScA', 'poss_spam': 0.3092, 'spam': 0.0709, 'spam_score_total': 0.1988, 'not_spam': 0.0001, 'spam_score_ts': 0.2921}
{'reviewerID': '7pmlFlxzve-GSJXF3UL0Tg', 'poss_spam': 0.0279, 'spam': 0.0636, 'spam_score_total': 0.1325, 'not_spam': 0.0001, 'spam_score_ts': 0.1789}
{'reviewerID': '9fMFfFzAfQc8uPnZTbwFTw', 'poss_spam': 0.0958, 'spam': 0.0485, 'spam_score_total': 0.1607, 'not_spam': 0.0001, 'spam_score_ts': 0.1612}
{'reviewerID': 'eCcjxh8zjAqn-kZVWZ_HJQ', 'poss_spam': 0.0001, 'spam': 0.2617, 'spam_score_total': 0.6798, 'not_spam': 0.0001, 'spam_score_ts': 0.698}
{'reviewerID': '71H7sf1m7OwvrCVj13LJAg', 'poss_spam': 0.0001, 'spam': 0.057, 'spam_score_total': 0.1521, 'not_spam': 0.0001, 'spam_score_ts': 0.1521}
{'reviewerID': '7RzZ0Ou64X-rvv_dRYE-9g', 'poss_spam': 0.0284, 'spam': 0.0634, 'spam_score_total': 0.1612, 'not_spam': 0.0001, 'spam_score_ts': 0.1786}
{'reviewerID': 'yVh0YeisOX26HLPI1ti8Cg', 'poss_spam': 0.3208, 'spam': 0.0009, 'spam_score_total': 0.0364, 'not_spam': 0.0001, 'spam_score_ts': 0.1092}
{'reviewerID': 'leZdjfXSl6yvUt0762JYYQ', 'poss_spam': 0.1296, 'spam': 0.041, 'spam_score_total': 0.1525, 'not_spam': 0.0001, 'spam_score_ts': 0.1525}
{'reviewerID': 'PYU074gsxXC4DkabvHsKkQ', 'poss_spam': 0.3209, 'spam': 0.0008, 'spam_score_total': 0.1092, 'not_spam': 0.0001, 'spam_score_ts': 0.1092}
{'reviewerID': '8h1r7mXd-H225yDgc4EMPg', 'poss_spam': 0.4883, 'spam': 0.0312, 'spam_score_total': 0.1834, 'not_spam': 0.0001, 'spam_score_ts': 0.246}
{'reviewerID': 'Ql1eg922BG8-JVp_zDFwcg', 'poss_spam': 0.0001, 'spam': 0.1418, 'spam_score_total': 0.3747, 'not_spam': 0.0001, 'spam_score_ts': 0.3782}
{'reviewerID': 'maGTQTvTubtMTJft4geE9A', 'poss_spam': 0.1098, 'spam': 0.0454, 'spam_score_total': 0.1576, 'not_spam': 0.0001, 'spam_score_ts': 0.1576}
{'reviewerID': 'PY-W3H1EHl80-ocRe9G9Og', 'poss_spam': 0.0001, 'spam': 0.0218, 'spam_score_total': 0.0581, 'not_spam': 0.0001, 'spam_score_ts': 0.0581}
{'reviewerID': 'CAlzkAY3BUundz-c7DCMeQ', 'poss_spam': 0.4487, 'spam': 0.04, 'spam_score_total': 0.2562, 'not_spam': 0.0001, 'spam_score_ts': 0.2562}
